à‚ì`éqfamily	ê∂ï®éÌ	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB		OC_count
ema	beq	BEWA_029410	BEWA_029410      hypothetical protein 		OC.481806	270	813	FAINT EMA	EMA FAINT 			19
ema	beq	BEWA_039650	BEWA_039650      signal peptide containing protein 		OC.481806	385	1158	FAINT EABR Corona_S2	EMA FAINT 			19
ema	beq	BEWA_004130	BEWA_004130      signal peptide-containing protein 		OC.481806	417	1254	FAINT EMA	EMA FAINT 			19
ema	beq	BEWA_053980	BEWA_053980      signal peptide containing protein 		OC.481806	443	1332	FAINT	EMA FAINT 			19
ema	beq	BEWA_022590	BEWA_022590      signal peptide-containing protein 		OC.481806	548	1647	FAINT	EMA FAINT 			19
ema	beq	BEWA_029450	BEWA_029450      signal peptide-containing protein 		OC.481806	560	1683	FAINT YmzC EMA	EMA FAINT 			19
ema	beq	BEWA_028650	BEWA_028650      hypothetical protein 		OC.481806	870	2613	FAINT DUF3519	EMA FAINT 			19
ema	beq	BEWA_036740	BEWA_036740      hypothetical protein 		OC.481806	773	2322	Hydrolase_4 FAINT Abhydrolase_5 Peptidase_S9 FYRN LIP	EMA FAINT Abhydrolase_5 Abhydrolase_6 Hydrolase_4 LIP			19
ema	beq	BEWA_035440	BEWA_035440      hypothetical protein 		OC.481806	356	1071	FAINT EMA	FAINT			19
ema	beq	BEWA_036440	BEWA_036440      signal peptide containing protein 		OC.481806	400	1203	FAINT	FAINT			19
ema	beq	BEWA_003450	BEWA_003450      hypothetical protein 		OC.481806	773	2322	FAINT EMA	FAINT			19
ema	beq	BEWA_003620	BEWA_003620      signal peptide-containing protein 		OC.481806	893	2682	FAINT EMA	FAINT			19
ema	beq	BEWA_041740	BEWA_041740      hypothetical protein 		OC.481806	748	2247	Hydrolase_4 FAINT Abhydrolase_5 Abhydrolase_1 Abhydrolase_3	FAINT Abhydrolase_5 Abhydrolase_6 Hydrolase_4			19
ema	beq	BEWA_039060	BEWA_039060      signal peptide containing protein 		OC.481806	549	1650	FAINT	FAINT EMA 			19
ema	beq	BEWA_045390	BEWA_045390      hypothetical protein 		OC.481806	632	1899	FAINT	FAINT EMA 			19
ema	beq	BEWA_048810	BEWA_048810      signal peptide containing protein 		OC.481806	681	2046	FAINT	FAINT EMA 			19
ema	beq	BEWA_012600	BEWA_012600      hypothetical protein 		OC.481806	879	2640	FAINT EMA	FAINT EMA 			19
ema	beq	BEWA_023030	BEWA_023030      hypothetical protein 		OC.481806	1082	3249	FAINT WPP	FAINT EMA 			19
ema	beq	BEWA_008790	"BEWA_008790      104 kDa microneme-rhoptry antigen precursor p104, putative "		OC.481806	398	1197	FAINT				19
ema	beq	BEWA_034050	BEWA_034050   ema family member protein		OC.530090	143	432	EMA	EMA			11
ema	beq	BEWA_045350	BEWA_045350   ema family member protein		OC.530090	272	819	EMA Nepo_coat	EMA			11
ema	beq	BEWA_026850	BEWA_026850   equi merozoite antigen 1		OC.530090	272	819	EMA	EMA			11
ema	beq	BEWA_016670	BEWA_016670   ema family member protein		OC.530090	273	822	EMA	EMA			11
ema	beq	BEWA_017320	BEWA_017320   equi merozoite antigen 2		OC.530090	274	825	EMA FAINT	EMA			11
ema	beq	BEWA_052710	BEWA_052710   ema family member protein		OC.530090	274	825	EMA FAINT	EMA			11
ema	beq	BEWA_034340	BEWA_034340   equi merozoite antigen 3		OC.530090	279	840	EMA	EMA			11
ema	tpv	TP01_1056	TP01_1056        32 kDa surface antigen 		OC.530090	280	843	EMA	EMA			11
ema	tan	TA17050	TA17050          merozoite-piroplasm surface antigen Tams1		OC.530090	281	846	EMA	EMA			11
ema	beq	BEWA_042700	BEWA_042700   ema family member protein		OC.530090	284	855	EMA Proteasom_Rpn13	EMA			11
ema	beq	BEWA_028210	BEWA_028210   ema family member protein		OC.530090	285	858	EMA	EMA			11
ema	tan	TA11900	TA11900          hypothetical protein 		OC.481825	253	762	FAINT	FAINT			1
