à‚ì`éqfamily	ê∂ï®éÌ	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB		OC_count
vsg	tbr	Tb927.3.5780	Tb927.3.5780   Tb03.2H15.790; hypothetical protein		OC.535867	175	528	VSG_B	VSG_B			75
vsg	tbr	Tb927.3.1470	Tb927.3.1470   Tb03.1J15.350; variant surface glycoprotein (VSG)-related		OC.535867	365	1098	VSG_B	VSG_B			75
vsg	tbr	Tb927.3.1520	Tb927.3.1520   Tb03.1J15.190; variant surface glycoprotein (VSG)-related		OC.535867	365	1098	VSG_B	VSG_B			75
vsg	tbr	Tb927.5.130	Tb927.5.130   Tb05.25N21.360; variant surface glycoprotein (VSG)-related		OC.535867	341	1026	VSG_B	VSG_B			75
vsg	tbr	Tb09.v1.0300	Tb09.v1.0300   hypothetical protein		OC.535867	381	1146	VSG_B	VSG_B			75
vsg	tbr	Tb927.5.110	Tb927.5.110   Tb05.25N21.420; variant surface glycoprotein (VSG)-related		OC.535867	342	1029	VSG_B	VSG_B			75
vsg	tbr	Tb927.1.5060	Tb927.1.5060   variant surface glycoprotein (VSG)-related		OC.535867	345	1038	VSG_B	VSG_B			75
vsg	tbr	Tb09.160.5440	Tb09.160.5440   hypothetical protein		OC.535867	367	1104	VSG_B RP-C_C	VSG_B			75
vsg	tbr	Tb09.v1.0290	Tb09.v1.0290   hypothetical protein		OC.535867	367	1104	VSG_B RP-C_C	VSG_B			75
vsg	tbr	Tb927.3.2540	Tb927.3.2540   Tb03.48O8.310; variant surface glycoprotein (VSG)-related		OC.535867	407	1224	VSG_B	VSG_B			75
vsg	tbr	Tb927.3.2500	Tb927.3.2500   Tb03.48O8.350; hypothetical protein		OC.535867	395	1188	VSG_B Fzo_mitofusin DUF4011 PHD SAB Ku_C PRKG1_interact	VSG_B			75
vsg	tbr	Tb11.01.4560	Tb11.01.4560   variant surface glycoprotein		OC.535867	420	1263	VSG_B ISG65-75	VSG_B			75
vsg	tbr	Tb927.5.660	Tb927.5.660   Tb05.30F7.480; hypothetical protein		OC.535867	490	1473	VSG_B SAB CCG DUF4349	VSG_B			75
vsg	tbr	Tb11.02.1566	Tb11.02.1566   variant surface glycoprotein		OC.535867	356	1071	VSG_B	VSG_B			75
vsg	tbr	Tb927.8.7300	Tb927.8.7300   Tb08.10K10.350; variant surface glycoprotein (VSG)-related		OC.535867	361	1086	VSG_B PPDK_N	VSG_B			75
vsg	tbr	Tb927.8.7320	Tb927.8.7320   Tb08.10K10.330; variant surface glycoprotein (VSG)-related		OC.535867	361	1086	VSG_B PPDK_N	VSG_B			75
vsg	tbr	Tb927.3.1500	Tb927.3.1500   Tb03.1J15.250; variant surface glycoprotein (VSG)-related		OC.535867	366	1101	VSG_B	VSG_B			75
vsg	tbr	Tb927.3.1510	Tb927.3.1510   Tb03.1J15.200; variant surface glycoprotein (VSG)-related		OC.535867	366	1101	VSG_B	VSG_B			75
vsg	tbr	Tb927.6.5260	Tb927.6.5260   Tb06.1I18.30; variant surface glycoprotein (VSG)	K14473 variant surface glycoprotein	OC.535867	461	1386	VSG_B DUF2408 DUF4407	VSG_B			75
vsg	tbr	Tb09.244.2200	Tb09.244.2200   variant surface glycoprotein		OC.535867	473	1422	VSG_B Peptidase_C25 Auxin_repressed	VSG_B			75
vsg	tbr	Tb927.1.5170	Tb927.1.5170   variant surface glycoprotein (VSG)-related		OC.535867	453	1362	VSG_B PTRF_SDPR Moulting_cycle	VSG_B			75
vsg	tbr	Tb927.2.2060	Tb927.2.2060   variant surface glycoprotein		OC.535867	444	1335	VSG_B DUF937 Cortex-I_coil	VSG_B			75
vsg	tbr	Tb09.160.5350	Tb09.160.5350   variant surface glycoprotein		OC.535867	487	1464	VSG_B Paramecium_SA	VSG_B			75
vsg	tbr	Tb09.244.2280	Tb09.244.2280   variant surface glycoprotein		OC.535867	474	1425	VSG_B Auxin_repressed	VSG_B			75
vsg	tbr	Tb09.244.2310	Tb09.244.2310   variant surface glycoprotein		OC.535867	474	1425	VSG_B Auxin_repressed Kp4	VSG_B			75
vsg	tbr	Tb09.244.2240	Tb09.244.2240   variant surface glycoprotein		OC.535867	474	1425	VSG_B BMFP	VSG_B			75
vsg	tbr	Tb09.244.2330	Tb09.244.2330   variant surface glycoprotein		OC.535867	475	1428	VSG_B	VSG_B			75
vsg	tbr	Tb10.v4.0031	Tb10.v4.0031   variant surface glycoprotein (VSG)	K14473 variant surface glycoprotein	OC.535867	483	1452	VSG_B	VSG_B			75
vsg	tbr	Tb11.14.0015	Tb11.14.0015   variant surface glycoprotein	K14473 variant surface glycoprotein	OC.535867	474	1425	VSG_B	VSG_B			75
