à‚ì`éqfamily	ê∂ï®éÌ	diez_rs	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB	AB-type
rifin	pfa	MAL13P1.2	MAL13P1.2	MAL13P1.2   RIF; rifin	K13851	OC.530158	348	1047	Rifin_STEVOR TMEM154 DUF912 DUF3377 PspB DUF1191 Adeno_E3_CR2 Glycophorin_A DUF2207 YajC Retrotrans_gag CHASE3 IncA DUF1180 Baculo_11_kDa EphA2_TM	Rifin_STEVOR/1		A
rifin	pfa	MAL13P1.4	MAL13P1.4	MAL13P1.4   RIF; rifin	K13851	OC.530158	369	1110	Rifin_STEVOR PspB TMEM154 DUF1191 DUF912 DUF2207 DUF4381 YajC DUF3021 BatD	Rifin_STEVOR/1 TMEM154/1		A
rifin	pfa	MAL13P1.495	MAL13P1.495	MAL13P1.495   RIF; rifin		OC.530158	272	819	Rifin_STEVOR DUF2207 DUF4381 TMEM154 ASFV_J13L TMEM132D_C DUF1191 DUF912 AbLIM_anchor	Rifin_STEVOR/1		
rifin	pfa	MAL13P1.500	MAL13P1.500	MAL13P1.500   RIF; rifin		OC.530158	348	1047	Rifin_STEVOR TMEM154 DUF912 PspB DUF3377 PalH NicO Adeno_E3_CR2 Glycophorin_A DUF1191 Protocadherin YajC ASFV_J13L DUF1180 DUF2207 EphA2_TM	Rifin_STEVOR/1		A
rifin	pfa	MAL13P1.515	MAL13P1.515	MAL13P1.515   RIF; rifin		OC.530158	336	1011	Rifin_STEVOR TMEM154 DUF3377 DUF912 Adeno_E3_CR2 DUF1191 PspB Baculo_11_kDa DUF2207 HemY_N ASFV_J13L zinc_ribbon_2 DUF4199 DUF1180 Cadherin_C_2 EphA2_TM Protocadherin YajC	Rifin_STEVOR/1 TMEM154/1		
rifin	pfa	MAL13P1.520	MAL13P1.520	MAL13P1.520   RIF; rifin		OC.530158	341	1026	Rifin_STEVOR DUF912 Baculo_11_kDa SpoVIF DUF3377 Glycophorin_A PspB DUF1180 TMEM154 DUF4083	Rifin_STEVOR/1		A
rifin	pfa	MAL13P1.530	MAL13P1.530	MAL13P1.530   rifin		OC.530158	354	1065	Rifin_STEVOR DUF912 TMEM154 EspB DUF2207 BatD DUF1191 DUF1180 DUF4381 TraG_N PspB Baculo_11_kDa Amnionless	Rifin_STEVOR/1		B2
rifin	pfa	MAL13P1.535	MAL13P1.535	MAL13P1.535   RIF; rifin	K13851	OC.530158	377	1134	Rifin_STEVOR DUF912 TMEM154 PspB LRRC37AB_C Baculo_11_kDa DUF3377 Adeno_E3_CR2 DUF1191 DUF1180 DUF2207 Glycophorin_A MSC TRP Protocadherin YajC EphA2_TM IncA	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	MAL7P1.184	MAL7P1.184	MAL7P1.184   RIF; rifin	K13851	OC.530158	338	1017	Rifin_STEVOR DUF912 DUF443 PalH ABC2_membrane_3 Adeno_E3_CR2 DUF1191 TMEM154 IncA DUF1180 ASFV_J13L SKG6 PspB DUF3377 Baculo_11_kDa zinc_ribbon_2	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	MAL7P1.185	MAL7P1.185	MAL7P1.185   RIF; rifin	K13851	OC.530158	372	1119	Rifin_STEVOR DUF912 TMEM154 Adeno_E3_CR2 DUF3377 DUF2207 Baculo_11_kDa DUF1180 TRP YajC PspB DUF1191 Syndecan Protocadherin Glycophorin_A LAX	Rifin_STEVOR/1 DUF912/1		A
