à‚ì`éqfamily	ê∂ï®éÌ	diez_vk	diez_cby	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB		OC_count
yir	pyo		PY07575	PY07575	PY07575   hypothetical protein		OC.529985	210	633	Cir_Bir_Yir	Cir_Bir_Yir	PY07575		819
yir	pyo		PY07514	PY07514	PY07514   hypothetical protein		OC.529985	217	654	Cir_Bir_Yir	Cir_Bir_Yir	PY07514		819
yir	pyo		PY07499	PY07499	PY07499   hypothetical protein		OC.529985	218	657	Cir_Bir_Yir HEPN YvbH_ext	Cir_Bir_Yir	PY07499		819
yir	pyo		PY07574	PY07574	PY07574   hypothetical protein		OC.529985	260	783	Cir_Bir_Yir Mucin-like	Cir_Bir_Yir	PY07574		819
yir	pyo		PY07522	PY07522	PY07522   hypothetical protein		OC.529985	265	798	Cir_Bir_Yir RPW8	Cir_Bir_Yir	PY07522		819
yir	pyo		PY07527	PY07527	PY07527   hypothetical protein		OC.529985	266	801	Cir_Bir_Yir Anticodon_1 Syntaxin_2 Fe_hyd_SSU	Cir_Bir_Yir	PY07527		819
yir	pyo		PY07653	PY07653	PY07653   hypothetical protein		OC.529985	266	801	Cir_Bir_Yir	Cir_Bir_Yir	PY07653		819
yir	pyo		PY07516	PY07516	PY07516   hypothetical protein		OC.529985	269	810	Cir_Bir_Yir	Cir_Bir_Yir	PY07516		819
yir	pyo		PY07501	PY07501	PY07501   hypothetical protein		OC.529985	271	816	Cir_Bir_Yir Turandot	Cir_Bir_Yir	PY07501		819
yir	pyo		PY07666	PY07666	PY07666   hypothetical protein		OC.529985	272	819	Cir_Bir_Yir RPW8 Creatinase_N_2	Cir_Bir_Yir	PY07666		819
yir	pyo		PY07635	PY07635	PY07635   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir	Cir_Bir_Yir	PY07635		819
yir	pyo		PY07546	PY07546	PY07546   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir DUF1049	Cir_Bir_Yir	PY07546		819
yir	pyo		PY07618	PY07618	PY07618   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir ApoO Cadherin_2 FAM177	Cir_Bir_Yir	PY07618		819
yir	pyo		PY07624	PY07624	PY07624   hypothetical protein		OC.529985	275	828	Cir_Bir_Yir MRP-S23	Cir_Bir_Yir	PY07624		819
yir	pyo		PY07829	PY07829	PY07829   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir BLOC1_2	Cir_Bir_Yir	PY07829		819
yir	pyo		PY07831	PY07831	PY07831   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir ANTH	Cir_Bir_Yir	PY07831		819
yir	pyo		PY07656	PY07656	PY07656   hypothetical protein		OC.529985	283	852	Cir_Bir_Yir	Cir_Bir_Yir	PY07656		819
yir	pyo		PY07849	PY07849	PY07849   hypothetical protein		OC.529985	287	864	Cir_Bir_Yir Cytochrom_C_asm	Cir_Bir_Yir	PY07849		819
yir	pyo		PY07533	PY07533	PY07533   hypothetical protein		OC.529985	288	867	Cir_Bir_Yir RPW8 FbpA	Cir_Bir_Yir	PY07533		819
yir	pyo		PY07626	PY07626	PY07626   hypothetical protein		OC.529985	289	870	Cir_Bir_Yir RasGAP_C DUF4745 Bromodomain MRP-S23	Cir_Bir_Yir	PY07626		819
yir	pyo		PY07500	PY07500	PY07500   hypothetical protein		OC.529985	292	879	Cir_Bir_Yir GIT1_C	Cir_Bir_Yir	PY07500		819
yir	pyo		PY07594	PY07594	PY07594   hypothetical protein		OC.529985	292	879	Cir_Bir_Yir	Cir_Bir_Yir	PY07594		819
yir	pyo		PY07637	PY07637	PY07637   hypothetical protein		OC.529985	292	879	Cir_Bir_Yir	Cir_Bir_Yir	PY07637		819
yir	pyo		PY07838	PY07838	PY07838   hypothetical protein		OC.529985	292	879	Cir_Bir_Yir	Cir_Bir_Yir	PY07838		819
yir	pyo		PY07536	PY07536	PY07536   hypothetical protein		OC.529985	293	882	Cir_Bir_Yir	Cir_Bir_Yir	PY07536		819
yir	pyo		PY07505	PY07505	PY07505   hypothetical protein		OC.529985	296	888	Cir_Bir_Yir RPW8	Cir_Bir_Yir	PY07505		819
yir	pyo		PY07600	PY07600	PY07600   hypothetical protein		OC.529985	296	891	Cir_Bir_Yir	Cir_Bir_Yir	PY07600		819
yir	pyo		PY07538	PY07538	PY07538   hypothetical protein		OC.529985	297	894	Cir_Bir_Yir DUF573	Cir_Bir_Yir	PY07538		819
yir	pyo		PY07628	PY07628	PY07628   hypothetical protein		OC.529985	297	894	Cir_Bir_Yir	Cir_Bir_Yir	PY07628		819
yir	pyo		PY07645	PY07645	PY07645   hypothetical protein		OC.529985	305	918	Cir_Bir_Yir ASFV_J13L	Cir_Bir_Yir	PY07645		819
yir	pyo		PY07823	PY07823	PY07823   hypothetical protein		OC.529985	307	924	Cir_Bir_Yir	Cir_Bir_Yir	PY07823		819
yir	pyo		PY07860	PY07860	PY07860   hypothetical protein		OC.529985	307	924	Cir_Bir_Yir	Cir_Bir_Yir	PY07860		819
yir	pyo		PY07632	PY07632	PY07632   hypothetical protein		OC.529985	308	927	Cir_Bir_Yir EST1_DNA_bind	Cir_Bir_Yir	PY07632		819
yir	pyo		PY07577	PY07577	PY07577   hypothetical protein		OC.529985	310	933	Cir_Bir_Yir Na_Ca_ex DUF3816	Cir_Bir_Yir	PY07577		819
yir	pyo		PY07521	PY07521	PY07521   hypothetical protein		OC.529985	311	936	Cir_Bir_Yir Synaptobrevin	Cir_Bir_Yir	PY07521		819
yir	pyo		PY07659	PY07659	PY07659   hypothetical protein		OC.529985	313	942	Cir_Bir_Yir DUF1049 Caskin-tail	Cir_Bir_Yir	PY07659		819
yir	pyo		PY07623	PY07623	PY07623   hypothetical protein		OC.529985	317	954	Cir_Bir_Yir Mer2 Peptidase_S46	Cir_Bir_Yir	PY07623		819
yir	pyo		PY07518	PY07518	PY07518   hypothetical protein		OC.529985	318	957	Cir_Bir_Yir DUF1959	Cir_Bir_Yir	PY07518		819
yir	pyo		PY07524	PY07524	PY07524   hypothetical protein		OC.529985	320	963	Cir_Bir_Yir DUF1340 Sigma_reg_N	Cir_Bir_Yir	PY07524		819
yir	pyo		PY07609	PY07609	PY07609   hypothetical protein		OC.529985	327	984	Cir_Bir_Yir	Cir_Bir_Yir	PY07609		819
yir	pyo		PY07639	PY07639	PY07639   hypothetical protein		OC.529985	328	987	Cir_Bir_Yir	Cir_Bir_Yir	PY07639		819
yir	pyo		PY07843	PY07843	PY07843   hypothetical protein		OC.529985	333	1002	Cir_Bir_Yir DUF3554	Cir_Bir_Yir	PY07843		819
yir	pyo		PY07512	PY07512	PY07512   hypothetical protein		OC.529985	336	1011	Cir_Bir_Yir TMEM154	Cir_Bir_Yir	PY07512		819
yir	pyo		PY07528	PY07528	PY07528   hypothetical protein		OC.529985	340	1023	Cir_Bir_Yir APG17 Cor1 DUF745	Cir_Bir_Yir	PY07528		819
yir	pyo		PY07510	PY07510	PY07510   hypothetical protein		OC.529985	345	1038	Cir_Bir_Yir	Cir_Bir_Yir	PY07510		819
yir	pyo		PY07517	PY07517	PY07517   hypothetical protein		OC.529985	352	1059	Cir_Bir_Yir PSII_Pbs27	Cir_Bir_Yir	PY07517		819
yir	pyo		PY07240	PY07240	PY07240   hypothetical protein		OC.529985	62	190	Cir_Bir_Yir	Cir_Bir_Yir/1	PY07240		819
yir	pyo		PY02127	PY02127	PY02127   hypothetical protein		OC.529985	79	240	Cir_Bir_Yir DUF4064 DUF1049 Ca_hom_mod	Cir_Bir_Yir/1	PY02127		819
yir	pyo		PY03089	PY03089	PY03089   hypothetical protein		OC.529985	107	326	Cir_Bir_Yir	Cir_Bir_Yir/1	PY03089		819
yir	pyo		PY00186	PY00186	PY00186   hypothetical protein		OC.529985	108	327	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00186		819
yir	pyo		PY07093	PY07093	PY07093   hypothetical protein		OC.529985	111	336	Cir_Bir_Yir	Cir_Bir_Yir/1	PY07093		819
yir	pyo		PY04758	PY04758	PY04758   hypothetical protein		OC.529985	126	381	Cir_Bir_Yir	Cir_Bir_Yir/1	PY04758		819
yir	pyo		PY05414	PY05414	PY05414   hypothetical protein		OC.529985	129	390	Cir_Bir_Yir DUF596	Cir_Bir_Yir/1	PY05414		819
yir	pyo		PY06410	PY06410	PY06410   hypothetical protein		OC.529985	131	396	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06410		819
yir	pyo		PY06275	PY06275	PY06275   hypothetical protein		OC.529985	135	409	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06275		819
yir	pyo		PY00579	PY00579	PY00579   hypothetical protein		OC.529985	139	420	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00579		819
