à‚ì`éqfamily	ê∂ï®éÌ	diez_vk		à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB
kir	pkn	PKH_010290	PKH_010290	PKH_010290 KIR protein		OC.486956	401	1206	Plasmodium_Vir	Plasmodium_Vir/1	
kir	pkn	PKH_011300	PKH_011300	PKH_011300   KIR protein		OC.486956	566	1701	Plasmodium_Vir	Plasmodium_Vir/1	PKH_011300
kir	pkn	PKH_020230	PKH_020230	PKH_020230   KIR protein		OC.486956	621	1866	Plasmodium_Vir	Plasmodium_Vir/2	PKH_020230
kir	pkn	PKH_020240	PKH_020240	PKH_020240   KIR protein		OC.486956	373	1122	Plasmodium_Vir	Plasmodium_Vir/1	PKH_020240
kir	pkn	PKH_021020	PKH_021020	PKH_021020   KIR protein		OC.486956	639	1920	Plasmodium_Vir	Plasmodium_Vir/2	PKH_021020
kir	pkn	PKH_021410	PKH_021410	PKH_021410   KIR protein		OC.486956	453	1362	Plasmodium_Vir Glyco_hydro_42	Plasmodium_Vir/1	PKH_021410
kir	pkn	PKH_030130	PKH_030130	PKH_030130   KIR-like protein		OC.486956	466	1401	Plasmodium_Vir	Plasmodium_Vir/1	PKH_030130
kir	pkn	PKH_031920	PKH_031920	PKH_031920   KIR protein		OC.486956	432	1299			PKH_031920
kir	pkn	PKH_031990	PKH_031990	PKH_031990   KIR protein		OC.486956	655	1968			PKH_031990
kir	pkn	PKH_050180	PKH_050180	PKH_050180   KIR protein		OC.486956	657	1974	DUF3829 Rad33		
kir	pkn	PKH_050510	PKH_050510	PKH_050510   KIR protein		OC.486956	561	1686	Plasmodium_Vir Pox_A21	Plasmodium_Vir/2	PKH_050510
kir	pkn	PKH_051050	PKH_051050	PKH_051050   KIR protein		OC.486956	601	1806	Plasmodium_Vir	Plasmodium_Vir/1	PKH_051050
kir	pkn		PKH_051060	PKH_051060   KIR protein		OC.486956	411	1236			
kir	pkn	PKH_051350	PKH_051350	PKH_051350   KIR protein		OC.486956	870	2613	Plasmodium_Vir CD99L2	Plasmodium_Vir/3	PKH_051350
kir	pkn	PKH_051510	PKH_051510	PKH_051510   KIR-like protein		OC.486956	376	1131	Plasmodium_Vir CDC27 DUF4686 DUF4364	Plasmodium_Vir/1	PKH_051510
kir	pkn	PKH_051540	PKH_051540	PKH_051540   KIR protein		OC.486956	646	1941	Plasmodium_Vir	Plasmodium_Vir/2	PKH_051540
kir	pkn	PKH_052280	PKH_052280	PKH_052280   KIR protein		OC.486956	379	1140	Plasmodium_Vir GDNF	Plasmodium_Vir/1	PKH_052280
kir	pkn	PKH_060490	PKH_060490	PKH_060490   kir protein		OC.486956	627	1884	Plasmodium_Vir	Plasmodium_Vir/2	PKH_060490
kir	pkn	PKH_061290	PKH_061290	PKH_061290   kir protein		OC.486956	627	1884	Plasmodium_Vir	Plasmodium_Vir/2	PKH_061290
kir	pkn	PKH_061830	PKH_061830	PKH_061830   kir-like protein		OC.486956	332	999	Plasmodium_Vir Ole-e-6	Plasmodium_Vir/2	PKH_061830
kir	pkn	PKH_070530	PKH_070530	PKH_070530   KIR protein		OC.486956	421	1266			
