à‚ì`éqfamily	ê∂ï®éÌ	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB		OC_count
vsp	gla	GL50803_33279	GL50803_112048   VSP		OC.9459	229	690	VSP	VSP	GL50803_112048		116
vsp	gla	GL50803_112126	GL50803_8338   VSP		OC.9459	229	690	VSP	VSP	GL50803_8338		116
vsp	gla	GL50803_11521	GL50803_40591   VSP		OC.9459	317	954	VSP	VSP	GL50803_40591		116
vsp	gla	GL50803_13727	GL50803_137681   VSP		OC.9459	370	1113	VSP	VSP	GL50803_137681		116
vsp	gla	GL50803_137606	GL50803_115158   High cysteine protein		OC.9459	454	1365	VSP	VSP	GL50803_115158		116
vsp	gla	GL50803_112828	GL50803_41227   VSP		OC.9459	542	1629	VSP	VSP	GL50803_41227		116
vsp	gla	GL50803_112305	GL50803_115797   VSP with INR		OC.9459	682	2049	VSP	VSP	GL50803_115797		116
vsp	gla	GL50803_137617	GL50803_113797   VSP with INR		OC.9459	713	2142	VSP	VSP	GL50803_113797		116
vsp	gla	GL50803_114617	GL50803_113450   VSP with INR		OC.9459	732	2199	VSP	VSP	GL50803_113450		116
vsp	gla	GL50803_114089	GL50803_14586   VSP with INR		OC.9459	733	2202	VSP	VSP	GL50803_14586		116
vsp	gla	GL50803_11470	GL50803_101074   VSP with INR		OC.9459	739	2220	VSP	VSP	GL50803_101074		116
vsp	gla	GL50803_137618	GL50803_137612   VSP		OC.9459	865	2598	VSP	VSP	GL50803_137612		116
vsp	gla	GL50803_137714	GL50803_101010   VSP with INR		OC.9459	419	1260	VSP	VSP	GL50803_101010		116
vsp	gla	GL50803_111936	GL50803_101496   VSP		OC.9459	479	1440	VSP	VSP	GL50803_101496		116
vsp	gla	GL50803_101380	GL50803_17380   High cysteine protein		OC.9459	511	1536	VSP	VSP	GL50803_17380		116
vsp	gla	GL50803_101496	GL50803_137614   VSP AS12		OC.9459	547	1644	VSP	VSP	GL50803_137614		116
vsp	gla	GL50803_136003	GL50803_114470   High cysteine membrane protein Group 6		OC.9459	584	1755	VSP	VSP	GL50803_114470		116
vsp	gla	GL50803_87628	GL50803_113512   High cysteine membrane protein Group 6		OC.9459	593	1782	VSP	VSP	GL50803_113512		116
vsp	gla	GL50803_114042	GL50803_15008   High cysteine membrane protein Group 1		OC.9459	609	1830	VSP	VSP	GL50803_15008		116
vsp	gla	GL50803_136004	GL50803_115830   VSP		OC.9459	633	1902	VSP	VSP	GL50803_115830		116
vsp	gla	GL50803_114470	GL50803_115831   VSP with INR		OC.9459	633	1902	VSP	VSP	GL50803_115831		116
vsp	gla	GL50803_34357	GL50803_113304   VSP		OC.9459	636	1911	VSP	VSP	GL50803_113304		116
vsp	gla	GL50803_137612	GL50803_137717   VSP		OC.9459	646	1941	VSP	VSP	GL50803_137717		116
vsp	gla	GL50803_40571	GL50803_114625   Proprotein convertase subtilisin/kexin type 5 precursor (EC:3.4.21.-)		OC.9459	578	1737	VSP	VSP	GL50803_114625		116
vsp	gla	GL50803_101765	GL50803_41472   VSP		OC.9459	587	1764	VSP	VSP	GL50803_41472		116
vsp	gla	GL50803_112801	GL50803_87628   VSP		OC.9459	616	1851	VSP	VSP	GL50803_87628		116
vsp	gla	GL50803_114625	GL50803_11521   VSP		OC.9459	628	1887	VSP	VSP	GL50803_11521		116
vsp	gla	GL50803_101589	GL50803_32607   High cysteine membrane protein Group 1		OC.9459	860	2583	VSP	VSP	GL50803_32607		116
vsp	gla	GL50803_114813	GL50803_40376   High cysteine non-variant cyst protein		OC.9459	1609	4830	VSP	VSP	GL50803_40376		116
vsp	gla	GL50803_113319	GL50803_113416   High cysteine membrane protein TMK-like		OC.9459	2516	7551	VSP	VSP	GL50803_113416		116
vsp	gla	GL50803_113450	GL50803_113319   High cysteine membrane protein TMK-like		OC.9459	2529	7590	VSP	VSP	GL50803_113319		116
vsp	gla	GL50803_113416	GL50803_114180   High cysteine membrane protein TMK-like		OC.9459	2539	7620	VSP	VSP	GL50803_114180		116
vsp	gla	GL50803_137729	GL50803_40592   VSP with INR		OC.9459	226	681	VSP Podoplanin	VSP	GL50803_40592		116
vsp	gla	GL50803_41472	GL50803_90215   VSP		OC.9459	236	711	VSP Podoplanin	VSP	GL50803_90215		116
vsp	gla	GL50803_113439	GL50803_14783   High cysteine protein		OC.9459	308	927	VSP Podoplanin	VSP	GL50803_14783		116
vsp	gla	GL50803_113024	GL50803_101589   High cysteine protein		OC.9459	393	1182	VSP Podoplanin	VSP	GL50803_101589		116
vsp	gla	GL50803_40376	GL50803_113024   VSP		OC.9459	400	1203	VSP Podoplanin	VSP	GL50803_113024		116
vsp	gla	GL50803_17380	GL50803_137721   VSP		OC.9459	421	1266	VSP Podoplanin	VSP	GL50803_137721		116
vsp	gla	GL50803_103992	GL50803_112647   VSP		OC.9459	428	1287	VSP Podoplanin	VSP	GL50803_112647		116
vsp	gla	GL50803_113304	GL50803_89315   VSP		OC.9459	443	1332	VSP Podoplanin	VSP	GL50803_89315		116
vsp	gla	GL50803_119706	GL50803_137605   VSP with INR		OC.9459	445	1338	VSP Podoplanin	VSP	GL50803_137605		116
vsp	gla	GL50803_115202	GL50803_137697   VSP		OC.9459	470	1413	VSP Podoplanin	VSP	GL50803_137697		116
vsp	gla	GL50803_27717	GL50803_102662   VSP		OC.9459	530	1593	VSP Podoplanin	VSP	GL50803_102662		116
vsp	gla	GL50803_7715	GL50803_136003   VSP		OC.9459	551	1656	VSP Podoplanin	VSP	GL50803_136003		116
vsp	gla	GL50803_101832	GL50803_136004   VSP		OC.9459	551	1656	VSP Podoplanin	VSP	GL50803_136004		116
vsp	gla	GL50803_41227	GL50803_137608   VSP with INR		OC.9459	553	1662	VSP Podoplanin	VSP	GL50803_137608		116
vsp	gla	GL50803_137605	GL50803_114813   VSP		OC.9459	581	1746	VSP Podoplanin	VSP	GL50803_114813		116
vsp	gla	GL50803_13390	GL50803_13194   VSP AS8		OC.9459	615	1848	VSP Podoplanin	VSP	GL50803_13194		116
vsp	gla	GL50803_137707	GL50803_113163   VSP		OC.9459	632	1899	VSP Podoplanin	VSP	GL50803_113163		116
vsp	gla	GL50803_115831	GL50803_11470   VSP with INR		OC.9459	673	2022	VSP Podoplanin	VSP	GL50803_11470		116
vsp	gla	GL50803_119707	GL50803_114162   VSP		OC.9459	674	2025	VSP Podoplanin	VSP	GL50803_114162		116
vsp	gla	GL50803_137604	GL50803_16501   VSP with INR		OC.9459	692	2079	VSP Podoplanin	VSP	GL50803_16501		116
vsp	gla	GL50803_89315	GL50803_13390   VSP		OC.9459	721	2166	VSP Podoplanin	VSP	GL50803_13390		116
vsp	gla	GL50803_115830	GL50803_137617   VSP		OC.9459	734	2205	VSP Podoplanin	VSP	GL50803_137617		116
vsp	gla	GL50803_113797	GL50803_111933   VSP		OC.9459	741	2226	VSP Podoplanin	VSP	GL50803_111933		116
vsp	gla	GL50803_101074	GL50803_111936   VSP		OC.9459	741	2226	VSP Podoplanin	VSP	GL50803_111936		116
vsp	gla	GL50803_112647	GL50803_40571   VSP		OC.9459	887	2664	VSP Podoplanin	VSP	GL50803_40571		116
vsp	gla	GL50803_114180	GL50803_115047   VSP		OC.9459	587	1764	VSP Podoplanin cEGF	VSP	GL50803_115047		116
vsp	gla	GL50803_112135	GL50803_119706   VSP		OC.9459	673	2022	VSP Podoplanin FecCD	VSP	GL50803_119706		116
vsp	gla	GL50803_25816	GL50803_119707   VSP with INR		OC.9459	673	2022	VSP Podoplanin FecCD	VSP	GL50803_119707		116
vsp	gla	GL50803_115742	GL50803_137722   VSP		OC.9459	715	2148	VSP Podoplanin FecCD	VSP	GL50803_137722		116
vsp	gla	GL50803_137722	GL50803_137723   VSP		OC.9459	715	2148	VSP Podoplanin FecCD	VSP	GL50803_137723		116
vsp	gla	GL50803_137708	GL50803_137714   VSP presumed INR		OC.9459	524	1575	VSP Podoplanin Furin-like_2	VSP	GL50803_137714		116
vsp	gla	GL50803_16842	GL50803_37093   VSP		OC.9459	638	1917	VSP Podoplanin Furin-like_2	VSP	GL50803_37093		116
vsp	gla	GL50803_137681	GL50803_112305   High cysteine membrane protein VSP-like		OC.9459	825	2478	VSP Podoplanin Furin-like_2	VSP	GL50803_112305		116
vsp	gla	GL50803_113987	GL50803_113297   High cysteine membrane protein VSP-like		OC.9459	824	2475	VSP Podoplanin Furin-like_2 SKG6	VSP	GL50803_113297		116
vsp	gla	GL50803_137614	GL50803_13727   VSP		OC.9459	540	1623	VSP Podoplanin PARM	VSP	GL50803_13727		116
vsp	gla	GL50803_14783	GL50803_34357   VSP		OC.9459	887	2664	VSP Podoplanin PARM	VSP	GL50803_34357		116
vsp	gla	GL50803_101805	GL50803_103992   VSP		OC.9459	627	1884	VSP Podoplanin SKG6	VSP	GL50803_103992		116
vsp	gla	GL50803_111933	GL50803_112801   VSP		OC.9459	747	2244	VSP Podoplanin SKG6	VSP	GL50803_112801		116
vsp	gla	GL50803_137723	GL50803_16472   VSP		OC.9459	425	1278	VSP Furin-like_2	VSP	GL50803_16472		116
vsp	gla	GL50803_114891	GL50803_15521   High cysteine membrane protein Group 2		OC.9459	539	1620	VSP Furin-like_2	VSP	GL50803_15521		116
vsp	gla	GL50803_114852	GL50803_137707   VSP		OC.9459	593	1782	VSP Furin-like_2	VSP	GL50803_137707		116
vsp	gla	GL50803_137672	GL50803_137708   VSP		OC.9459	593	1782	VSP Furin-like_2	VSP	GL50803_137708		116
vsp	gla	GL50803_112673	GL50803_112208   VSP with INR		OC.9459	596	1791	VSP Furin-like_2	VSP	GL50803_112208		116
vsp	gla	GL50803_115797	GL50803_114672   VSP		OC.9459	614	1845	VSP Furin-like_2	VSP	GL50803_114672		116
vsp	gla	GL50803_113163	GL50803_101805   High cysteine membrane protein Group 1		OC.9459	762	2289	VSP Furin-like_2	VSP	GL50803_101805		116
