遺伝子family	生物種	diez_vk	遺伝子_ids	遺伝子	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB
vir	pvx	PVX_002495	PVX_002495	PVX_002495   variable surface protein Vir7-like		OC.486956	324	975	Plasmodium_Vir	Plasmodium_Vir/1	PVX_002495
vir	pvx	PVX_014625	PVX_014625	PVX_014625   variable surface protein Vir7		OC.486956	375	1128	Plasmodium_Vir	Plasmodium_Vir/1	PVX_014625
vir	pvx	PVX_023685	PVX_023685	PVX_023685   variable surface protein Vir7		OC.486956	292	879	Plasmodium_Vir	Plasmodium_Vir/1	PVX_023685
vir	pvx	PVX_048190	PVX_048190	"PVX_048190   variable surface protein Vir27, truncated"		OC.486956	117	352	Plasmodium_Vir	Plasmodium_Vir/1	PVX_048190
vir	pvx	PVX_053190	PVX_053190	PVX_053190   variable surface protein Vir27		OC.486956	344	1035	Plasmodium_Vir	Plasmodium_Vir/1	PVX_053190
vir	pvx	PVX_064190	PVX_064190	PVX_064190   variable surface protein Vir7		OC.486956	364	1095	Plasmodium_Vir	Plasmodium_Vir/1	PVX_064190
vir	pvx	PVX_064690	PVX_064690	PVX_064690   variable surface protein Vir27		OC.486956	363	1092	Plasmodium_Vir	Plasmodium_Vir/1	PVX_064690
vir	pvx	PVX_069190	PVX_069190	"PVX_069190   variable surface protein Vir27-like, truncated"		OC.486956	343	1032	Plasmodium_Vir LMBR1	Plasmodium_Vir/1	PVX_069190
vir	pvx	PVX_072190	PVX_072190	PVX_072190   variable surface protein Vir7		OC.486956	362	1089	Plasmodium_Vir	Plasmodium_Vir/1	PVX_072190
vir	pvx	PVX_102630	PVX_102630	PVX_102630   variable surface protein Vir27		OC.486956	345	1038	Plasmodium_Vir GDNF	Plasmodium_Vir/1	PVX_102630
vir	pvx	PVX_150260	PVX_150260	"PVX_150260   variable surface protein Vir27, truncated"		OC.486956	361	1086	Plasmodium_Vir	Plasmodium_Vir/1	PVX_150260
vir	pvx	PVX_177275	PVX_177275	PVX_177275   variable surface protein Vir7		OC.486956	328	986	Plasmodium_Vir DUF4218	Plasmodium_Vir/1	PVX_177275
vir	pvx	PVX_012115	PVX_012115	PVX_012115   variable surface protein Vir 28/6-related		OC.529950	506	1521	Plasmodium_Vir DUF3689 IFT20 ING MAP65_ASE1	Plasmodium_Vir/1	PVX_012115
vir	pvx	PVX_018655	PVX_018655	PVX_018655   variable surface protein Vir28-like		OC.529950	515	1548	Plasmodium_Vir	Plasmodium_Vir/1	PVX_018655
vir	pvx	PVX_024185	PVX_024185	PVX_024185   variable surface protein Vir6-like		OC.529950	427	1284	Plasmodium_Vir ALIX_LYPXL_bnd	Plasmodium_Vir/1	PVX_024185
vir	pvx	PVX_028690	PVX_028690	PVX_028690   variable surface protein Vir6		OC.529950	464	1395	Plasmodium_Vir	Plasmodium_Vir/1	PVX_028690
vir	pvx	PVX_032190	PVX_032190	PVX_032190   variable surface protein Vir28-related		OC.529950	497	1494	Plasmodium_Vir	Plasmodium_Vir/1	PVX_032190
vir	pvx	PVX_039190	PVX_039190	PVX_039190   variable surface protein Vir6		OC.529950	438	1315	Plasmodium_Vir	Plasmodium_Vir/1	PVX_039190
vir	pvx	PVX_048690	PVX_048690	PVX_048690   variable surface protein Vir7-like		OC.529950	408	1227	Plasmodium_Vir PA14_2	Plasmodium_Vir/1	PVX_048690
vir	pvx	PVX_050690	PVX_050690	PVX_050690   variable surface protein Vir6		OC.529950	405	1218			
vir	pvx	PVX_057190	PVX_057190	"PVX_057190   variable surface protein Vir6, truncated"		OC.529950	118	357	Plasmodium_Vir	Plasmodium_Vir/1	
vir	pvx	PVX_063690	PVX_063690	PVX_063690   variable surface protein Vir6-like		OC.529950	456	1371	Plasmodium_Vir Borrelia_P83 DUF3130	Plasmodium_Vir/1	PVX_063690
vir	pvx	PVX_079195	PVX_079195	PVX_079195   variable surface protein Vir6-like		OC.529950	427	1284	Plasmodium_Vir Presenilin CDC45 RNA_pol_Rpc4 DUF4407 Rtf2 Ndc1_Nup DUF4175 SelP_N Zip GvpL_GvpF	Plasmodium_Vir/1	PVX_079195
vir	pvx	PVX_102130	PVX_102130	PVX_102130   hypothetical protein		OC.529950	456	1371	Plasmodium_Vir	Plasmodium_Vir/1	PVX_102130
vir	pvx	PVX_112115	PVX_112115	PVX_112115   variable surface protein Vir6		OC.529950	320	963	Plasmodium_Vir	Plasmodium_Vir/2	PVX_112115
vir	pvx	PVX_121345	PVX_121345	PVX_121345   variable surface protein Vir6		OC.529950	449	1350	Plasmodium_Vir	Plasmodium_Vir/1	PVX_121345
vir	pvx		PVX_056190	PVX_056190   variable surface protein Vir6-related		OC.529950	407	1222	Plasmodium_Vir	Plasmodium_Vir/1	PVX_056190
vir	pvx		PVX_035190	"PVX_035190   variable surface protein Vir6, truncated"		OC.529950	410	1233	Plasmodium_Vir	Plasmodium_Vir/1	PVX_035190
vir	pvx		PVX_104695	PVX_104695   variable surface protein Vir6-like		OC.529950	435	1308	Plasmodium_Vir FixO Selenoprotein_S	Plasmodium_Vir/1	
vir	pvx		PVX_014630	PVX_014630   variable surface protein Vir6		OC.529950	464	1395	Plasmodium_Vir Glyco_hydro_2_N	Plasmodium_Vir/1	PVX_014630
vir	pvx		PVX_108255	PVX_108255   hypothetical protein		OC.529950	442	1329			PVX_108255
vir	pvx		PVX_007080	PVX_007080   variable surface protein Vir 28		OC.529950	451	1356	MA3		PVX_007080
vir	pvx		PVX_040190	"PVX_040190   variable surface protein Vir6, truncated"		OC.529950	266	798	Borrelia_P83		PVX_040190
vir	pvx		PVX_007585	PVX_007585   variable surface protein Vir28		OC.529950	447	1344			PVX_007585
vir	pvx		PVX_059190	PVX_059190   variable surface protein Vir6		OC.529950	438	1317			PVX_059190
vir	pvx		PVX_103670	PVX_103670   variable surface protein Vir6-like		OC.529950	459	1380			PVX_103670
vir	pvx		PVX_026690	PVX_026690   variable surface protein Vir6		OC.529950	460	1383			
vir	pvx		PVX_029690	PVX_029690   variable surface protein Vir6		OC.529950	399	1200			
vir	pvx		PVX_030690	PVX_030690   variable surface protein Vir6		OC.529950	186	561			
vir	pvx		PVX_031190	PVX_031190   variable surface protein Vir6		OC.529950	319	960	MRFAP1		
vir	pvx		PVX_033690	"PVX_033690   variable surface protein Vir6, truncated"		OC.529950	105	318			
vir	pvx		PVX_047190	PVX_047190   variable surface protein Vir28-like		OC.529950	325	978	Imm44		
vir	pvx		PVX_060190	PVX_060190   hypothetical protein		OC.529950	84	256			
vir	pvx		PVX_070190	"PVX_070190   variable surface protein Vir28, truncated"		OC.529950	182	549			
vir	pvx		PVX_071190	PVX_071190   variable surface protein Vir28-related		OC.529950	437	1314			
vir	pvx		PVX_073190	PVX_073190   variable surface protein Vir6-like		OC.529950	492	1479			
vir	pvx		PVX_106210	PVX_106210   variable surface protein Vir6		OC.529950	434	1305			PVX_106210
vir	pvx	PVX_010605	PVX_010605	PVX_010605   variable surface protein Vir15		OC.529952	286	861	Plasmodium_Vir	Plasmodium_Vir/2	PVX_010605
vir	pvx	PVX_057690	PVX_057690	PVX_057690   variable surface protein Vir33		OC.529952	301	906	Plasmodium_Vir PPR Sec8_exocyst	Plasmodium_Vir/2	PVX_057690
vir	pvx	PVX_067690	PVX_067690	PVX_067690   variable surface protein Vir1-like		OC.529952	266	801	Plasmodium_Vir FbpA DUF2400	Plasmodium_Vir/1	PVX_067690
vir	pvx	PVX_096005	PVX_096005	PVX_096005   variable surface protein Vir15-related		OC.529952	367	1104	Plasmodium_Vir	Plasmodium_Vir/2	PVX_096005
vir	pvx	PVX_096935	PVX_096935	PVX_096935   variable surface protein Vir9-related		OC.529952	304	915	Plasmodium_Vir	Plasmodium_Vir/2	PVX_096935
vir	pvx	PVX_106720	PVX_106720	PVX_106720   variable surface protein Vir33 (truncated)		OC.529952	220	663	Plasmodium_Vir Upf2 DNA_pol_phi CobT Nop14 Turandot DUF2457 CDC45 Sigma70_ner Tom22 TRAP_alpha BUD22 Pes-10 Sporozoite_P67	Plasmodium_Vir/1	PVX_106720
vir	pvx	PVX_107750	PVX_107750	PVX_107750   variable surface protein Vir2/15-like		OC.529952	301	906	Plasmodium_Vir MCM_N IL5	Plasmodium_Vir/2	PVX_107750
vir	pvx	PVX_109795	PVX_109795	PVX_109795   variable surface protein Vir33		OC.529952	301	906	Plasmodium_Vir Phage_TAC_10	Plasmodium_Vir/2	PVX_109795
vir	pvx	PVX_167265	PVX_167265	"PVX_167265   variable surface protein Vir15, truncated"		OC.529952	278	839	Plasmodium_Vir	Plasmodium_Vir/2	PVX_167265
vir	pvx		PVX_105705	PVX_105705   hypothetical protein		OC.529952	191	576	Plasmodium_Vir	Plasmodium_Vir/1	PVX_105705
vir	pvx		PVX_000020	PVX_000020   variable surface protein Vir9-like		OC.529952	234	705	Plasmodium_Vir TMEM154 Phage_int_SAM_4 DUF3377	Plasmodium_Vir/1	PVX_000020
vir	pvx		PVX_096930	"PVX_096930   variable surface protein Vir1-related, truncated"		OC.529952	248	747	Plasmodium_Vir Cir_Bir_Yir WEMBL	Plasmodium_Vir/1　Cir_Bir_Yir/1	PVX_096930
vir	pvx		PVX_105710	PVX_105710   variable surface protein Vir1/9		OC.529952	245	738	Plasmodium_Vir Cir_Bir_Yir SAS-6_N	Plasmodium_Vir/1 Cir_Bir_Yir/1	PVX_105710
vir	pvx		PVX_070690	"PVX_070690   variable surface protein Vir33, truncated"		OC.529952	260	783			PVX_070690
vir	pvx		PVX_121355	PVX_121355   variable surface protein Vir15-like		OC.529952	222	669	DUF2570		
vir	pvx		PVX_186290	"PVX_186290   variable surface protein Vir15-related, truncated"		OC.529952	133	402	NPM1-C		
vir	pvx	PVX_005565	PVX_005565	PVX_005565   hypothetical protein		OC.529953	209	630	NuiA		
vir	pvx	PVX_042690	PVX_042690	PVX_042690   variable surface protein Vir30		OC.529953	337	1014	Plasmodium_Vir	Plasmodium_Vir/2	PVX_042690
vir	pvx	PVX_053690	PVX_053690	PVX_053690   variable surface protein Vir30		OC.529953	309	930	Plasmodium_Vir	Plasmodium_Vir/2	PVX_053690
vir	pvx	PVX_115990	PVX_115990	PVX_115990   hypothetical protein		OC.529953	271	816	Plasmodium_Vir Cir_Bir_Yir zf-C4H2 DUF445 FANCI_S3	Cir_Bir_Yir/1 Plasmodium_Vir/1	PVX_115990
vir	pvx	PVX_145260	PVX_145260	PVX_145260   variable surface protein Vir30		OC.529953	305	918	Plasmodium_Vir	Plasmodium_Vir/2	PVX_145260
