à‚ì`éqfamily	ê∂ï®éÌ	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3			OC_count
ves	bbo	BBOV_II004110	"BBOV_II004110   18.m06341; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	116	351	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I001190	"BBOV_I001190   16.m00726; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	123	372	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II007830	"BBOV_II007830   18.m10059; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	146	441	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV000350	"BBOV_IV000350   21.m02777; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	150	453	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I001340	"BBOV_I001340   19.m02122; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	145	438	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III011970	"BBOV_III011970   17.m08021; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	191	576	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II000030	"BBOV_II000030   18.m05988; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	202	609	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV005640	"BBOV_IV005640   23.m06012; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	186	561	VESA1_N CBF_beta TIG	VESA1_N			132
ves	bbo	BBOV_IV012150	"BBOV_IV012150   23.m06175; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	194	585	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV000030	"BBOV_IV000030   21.m02960; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	193	582	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II000940	"BBOV_II000940   18.m06069; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	221	666	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III001150	"BBOV_III001150   17.m10466; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	864	2595	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I001320	"BBOV_I001320   19.m02393; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	329	990	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV000200	"BBOV_IV000200   21.m03013; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	334	1005	VESA1_N BRX_N	VESA1_N			132
ves	bbo	BBOV_III007140	BBOV_III007140   17.m10573; variant erythrocyte surface antigen-1 family protein		OC.528704	898	2697	VESA1_N DUF4377	VESA1_N			132
ves	bbo	BBOV_III006920	BBOV_III006920   17.m10567; variant erythrocyte surface antigen-1 family protein		OC.528704	920	2763	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III007110	BBOV_III007110   17.m10572; variant erythrocyte surface antigen-1 family protein		OC.528704	897	2694	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I005660	BBOV_I005660   27.m00039; variant erythrocyte surface antigen-1		OC.528704	508	1527	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I005520	BBOV_I005520   26.m00084; variant erythrocyte surface antigen-1		OC.528704	779	2340	VESA1_N CBF_beta	VESA1_N			132
ves	bbo	BBOV_IV002840	"BBOV_IV002840   21.m03054; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	776	2331	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II000100	"BBOV_II000100   18.m05990; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	884	2655	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I005790	BBOV_I005790   28.m00030; variant erythrocyte surface antigen-1		OC.528704	431	1294	VESA1_N DDE_Tnp_1_assoc	VESA1_N			132
ves	bbo	BBOV_III001270	"BBOV_III001270   17.m10473; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	793	2382	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II006820	"BBOV_II006820   18.m06562; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	943	2832	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III001160	"BBOV_III001160   17.m07130; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	464	1395	VESA1_N Borrelia_REV	VESA1_N			132
ves	bbo	BBOV_IV012130	"BBOV_IV012130   23.m06039; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	293	882	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I003870	"BBOV_I003870   19.m02362; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	605	1818	VESA1_N	VESA1_N			132
